AdvisoryID,Version,Severity,Description,Link
NCSC-2025-0271,[1.00],[M/H],Kwetsbaarheden verholpen in Arcserve Unified Data Protection,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0271
NCSC-2025-0270,[1.00],[M/H],Kwetsbaarheden verholpen in Cisco NX-OS Software,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0270
NCSC-2025-0234,[1.01],[M/H],Kwetsbaarheid verholpen in CrushFTP,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0234
NCSC-2025-0269,[1.00],[M/H],Kwetsbaarheden verholpen in IBM Cognos Command Center,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0269
NCSC-2025-0268,[1.02],[H/H],Kwetsbaarheden verholpen in Citrix NetScaler ADC en Gateway,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0268
NCSC-2025-0266,[1.01],[M/H],"Kwetsbaarheid verholpen in Apple MacOS, iOS en iPadOS",https://advisories.ncsc.nl/advisory?id=NCSC-2025-0266
NCSC-2025-0267,[1.00],[M/H],Kwetsbaarheden verholpen in Foxit Reader,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0267
NCSC-2025-0265,[1.00],[M/H],Kwetsbaarheden verholpen in Commvault,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0265
NCSC-2025-0264,[1.00],[M/H],Kwetsbaarheden verholpen in Cisco Secure Firewall Software,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0264
NCSC-2025-0263,[1.00],[M/H],Kwetsbaarheden verholpen in N-able N-Central,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0263
NCSC-2025-0262,[1.00],[M/H],Kwetsbaarheden verholpen in Xerox FreeFlow Core,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0262
NCSC-2025-0261,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe InCopy,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0261
NCSC-2025-0260,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Framemaker,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0260
NCSC-2025-0259,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Commerce en Magento,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0259
NCSC-2025-0258,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe InDesign,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0258
NCSC-2025-0257,[1.00],[M/H],Kwetsbaarheid verholpen in Adobe Photoshop,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0257
NCSC-2025-0256,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Illustrator,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0256
NCSC-2025-0255,[1.01],[M/H],Kwetsbaarheden verholpen in Fortinet producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0255
NCSC-2025-0254,[1.00],[M/H],Kwetsbaarheden verholpen in Zoom,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0254
NCSC-2025-0253,[1.00],[M/H],"Kwetsbaarheden verholpen in Ivanti Connect Secure, Policy Secure en ZTA Gateways",https://advisories.ncsc.nl/advisory?id=NCSC-2025-0253
NCSC-2025-0252,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Exchange Server,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0252
NCSC-2025-0251,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0251
NCSC-2025-0250,[1.00],[M/M],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0250
NCSC-2025-0249,[1.00],[M/H],Kwetsbaarheden verholpen in Azure-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0249
NCSC-2025-0248,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Developer Tools,https://advisories.ncsc.nl/advisory?id=NCSC-2025-0248
